Phone Number,Total Mins,Total Charge,Unnamed: 3
1234567890,1500.0,300.0,
9884363679,350.0,12.0,
382-4657,707.2,10.0,
801592654,3200.0,1000.0,
7604997897,150.0,4.0,
8015892417,3200.0,500.0,
9291825610,325.0,100.0,
5254696891,3000.0,2000.0,
0801 589 2417,1234.0,567.0,
5257278140,5000.0,3000.0,
5257278140,300.0,45.0,
5604,20.0,12.0,
5604,300.0,14.0,
5604,300.0,14.0,
637453,300.0,12.0,
978456,300.0,12.0,
7299649810,5000.0,3000.0,
375-9999,558.1999999999999,6.6,
989-7557,1414.0,9.6,
8098729862,234.0,21.0,
6380875935,234.0,,57.0
6380879,600.0,60.0,
394-8006,596.5,59.64,
809-875,670.0,86.5,
635-712,3000.0,512.85,
123-98,234.0,34.0,
765-0987,1200.0,600.0,
775-9585,1013.3,103.09,
1232432546,1200.0,200.0,
9790938759,1000.0,100.0,
364768798,1000.0,100.0,
25476879809,10000.0,1000.0,
4768798090,300.0,666.0,
4768798090,300.0,666.0,
355-9993,779.3000000000001,78.31,
32647687,900.0,400.0,
213233244,900.0,200.0,
435645676765765,4000.0,4556.0,
8958069,900.0,666.0,
476809,800.0,500.0,
3557677879,1200.0,150.0,
3557677879,2122.0,200.0,
365889,1200.0,500.0,
9840780143,300.0,275.0,
